Words,Frequency
judge,1
whentheoutlookisbrightbringitbeforetheireyesbuttellthemnothing,1
gloomy,1
placeyourarmyindeadlyperilanditwillsurviveplungeitintodesperate,1
comeoff,1
luded,1
halted,1
chinghsing,1
mustered,1
midnight,1
detached,1
theirinstructionsweretomaketheirwaythroughnarrowdelesandkeep,1
asecretwatchontheenemy,1
whenthemenofchaoseemeinfullight,1
hanhsinsaidtheywillabandontheirforticationsandgivechase,1
pluck,1
standards,1
stead,1
remarked,1
sees,1
loud,2
broad,1
daylight,1
generalissimos,1
andwasimmediatelyengagedbytheenemy,1
agreatbattlefollowedlast,1
ni,1
raging,1
rushed,2
denuding,1
menbutthetwogeneralssucceededinjoiningtheotherarmywhichwas,1
ghtingwiththeutmostdesperation,1
thetimehadnowcomeforthe,1
galloped,1
deserted,1
tore,1
replaced,1
armylookedbackfromthepursuitthesightoftheseredagsstruckthem,1
hans,1
overpowered,1
stay,3
completed,1
killing,4
capturing,1
ya,4
stud,1
ied,1
plunge,1
neverhavebeenabletobringmycolleagueround,1
whatsaysthemilitary,1
classicswoopdownonthemarketplaceanddrivethemenofftoght,1
discretion,1
debandade,1
thesearehighertacticsthanweshouldhavebeencapableofsee,1
ff,2
harms,1
bracing,1
successinwarfareisgainedbycarefullyaccommodatingourselvestothe,1
stupidityby,1
yielding,1
intentionthe,1
objectisto,1
makehim,1
remissandcontemptuous,1
beforewe,1
persistently,1
hanging,1
iunderstandtherstfourwordstomeanaccompanyingtheenemyinone,1
unite,1
displacement,1
indefensible,1
withthe,1
accomplish,1
ofcial,2
tallies,1
tablets,1
issued,1
permit,1
passport,1
gate,3
warden,1
returned,2
authorized,1
traveler,1
allemissaries,1
councilchamber,1
insist,1
ratied,1
thesituation,1
meiyaochenunderstandsthewholesentencetomean,1
takethestrictest,1
adoor,1
forestallyouropponentbyseizingwhatheholdsdearcf,1
suprass,1
subtly,1
timehis,1
arrival,2
notbeturnedtoanypracticalaccount,1
hewhointendsthereforetooccupy,1
appointment,3
antagonist,1
cajole,1
medium,1
havingcunninglydisclosedourintentionswemustmanagethoughstart,1
thither,1
ordertocapturetheplacewithouttrouble,1
takenthusthepresentpassage,1
meiyaochens,1
walk,1
adhering,1
conventional,1
canons,1
rests,1
yielded,1
satisfactory,1
veterans,1
violating,1
accepted,1
canon,1
accommodate,1
opportun,1
prove,1
decis,1
exhibit,1
coyness,1
maiden,1
emulate,1
pearsfelicitous,1
butofcoursesuntzuwasthinkingonlyofitsspeed,1
wordshavebeentakentomean,1
youmusteefromtheenemyasquickly,1
escaping,1
rightly,1
rejected,1
kill,2
whentheytrytoescapefromtheames,1
panchaosentonadiplomatic,1
mission,2
mortal,1
consultation,1
winthe,1
opentousnowisto,1
anassaultbyreonthebarbariansundercover,1
proting,1
cool,1
ensuring,1
intendant,2
passion,1
cried,1
humdrum,1
civilian,1
inglorious,1
wished,1
accordinglyassoonasnightcameonheandhislittlebandquicklymade,1
barbarian,2
hide,1
barracks,1
ames,3
drumming,1
yelling,1
armed,1
crossbows,1
windward,2
deafening,1
tigers,2
lair,1
cubs,1
pellmell,1
frantic,1
slew,1
companions,1
remainder,1
divining,1
uplifted,1
showed,1
thewholekingdomwasseizedwithfearandtremblingwhichpanchao,1
allay,1
issuing,1
proclamation,1
hostage,1
subdue,1
lious,1
population,1
kiangnan,1
keng,1
periodical,1
raids,1
baggagetrains,1
shaos,1
fourth,1
arsenals,2
magazines,2
species,1
bullion,1
cloth,1
hurl,1
droppingre,1
themethodbywhichthismaybedoneistosetthetipsofarrowsalightby,1
dippingthemintoabrazierandthenshootthemfrompowerfulcrossbows,1
anattack,1
tsaokungthinksthattraitorsintheenemyscamparereferredto,1
tumusuggestsasmaterialformakingre,1
dryvegetablematterreeds,1
brushwoodstrawgreaseoiletcherewehavethematerialcause,1
hoarding,1
stuff,1
starting,1
conagration,1
constellations,1
sieve,1
wing,1
crossbar,1
twentyeight,1
stellar,1
mansions,1
roughly,1
sagittarius,1
pegasus,1
crater,1
corvus,1
daysof,1
devel,1
opments,1
inside,2
respond,1
bide,1
fusion,1
caution,1
practicable,1
tumusaysthatthepreviousparagraphshadreferencetotherebreaking,1
outeitheraccidentallywemaysupposeorbytheagencyofincendiaries,1
insidetheenemyscamp,1
buthecontinuesiftheenemyissettledina,1
littered,1
quantities,1
burnt,2
seasonable,1
hopes,1
fruitless,1
bafed,1
lattertakingadvantageofafavorablewindtriedtosetretothechinese,1
generalscampbutfoundthateveryscrapofcombustiblevegetationinthe,1
potsai,1
turban,1
badly,1
throughhisneglectofthissimpleprecaution,1
attheheadofalargearmy,1
changshe,1
huangfu,3
garrison,1
pervaded,1
therankssohuangfusungcalledhisofcerstogetherandsaid,1
inwar,1
blows,1
sortie,1
emulating,1
achievement,1
breeze,4
sprang,1
instructed,1
bind,1
mount,1
guardonthecitywallsafterwhichhesentoutabandofdaringmenwho,1
stealthily,1
shouts,1
yells,1
glare,1
sounding,1
headlong,1
leeward,1
changyufollowingtuyusays,1
whenyoumakearetheenemywill,1
conduce,1
rises,1
daytime,1
lasts,2
morn,1
dies,1
daybreak,1
thissense,1
developments,1
stars,2
differently,1
assail,1
attacksfrom,1
tothe,1
bymeansofwateranenemymaybeinterceptedbutnotrobbedofallhis,1
belongings,1
obstruct,1
sweep,1
destructive,1
couple,1
ofsentenceswhereastheattackbyreisdiscussedindetail,1
wutzuch,1
speaksthusofthetwoelements,1
ifanarmyisencampedonlowlying,1
marshy,1
submerged,1
wildmarshlandsthicklyovergrownwithweedsandbramblesandvisited,1
gales,1
beexterminated,1
unhappy,1
attackswithoutcultivatingthespiritofenterprisefortheresultiswasteof,1
stagnation,1
thisisoneofthemostperplexingpassagesinsuntzu,1
tsaokungsays,1
deferred,1
deserving,1
yoursubordinateswillnotcarryoutyourcommandsanddisasterwillen,1
formidable,1
assaults,1
shrink,1
heroic,1
meas,1
ures,1
andthelike,1
whattheymustnotdoandwhatwillprovefatalistositstill,1
lueh,1
controls,1
kits,1
decays,1
disruption,1
suntzumayattimesappeartobeovercautiousbuthenevergoessofar,1
inthatdirectionastheremarkablepassageinthetaotechingch,1
dare,2
inch,1
gratify,1
spleen,1
pique,1
ifitistoyouradvantagemakeaforwardmoveifnotstaywhereyouare,1
evident,1
gladness,1
vexation,1
destined,1
melancholy,1
dead,1
heedful,1
cau,2
entails,1
drain,1
daily,1
commotion,1
taotechingch,1
wheretroopshavebeenquarteredbrambles,1
andthornsspringup,1
wemayberemindedofthe,1
carriage,1
andtransportationcauseexhaustiononthehighwaystheansweristhat,1
notvictualsalonebutallsortsofmunitionsofwarhavetobeconveyedto,1
thearmy,1
besidestheinjunctiontoforageontheenemyonlymeansthat,1
deeply,1
scarcity,1
beprovidedagainst,1
hencewithoutbeingsolelydependentontheenemy,1
uninterrupted,1
ofsupplies,1
thenagainthereareplaceslikesaltdesertswhereprovisions,1
unobtainable,1
dispensed,1
families,3
labor,1
plough,1
lusion,1
aboutacrestheplotinthecenterbeingcultivatedonbehalfofthestate,1
tenants,1
cottages,1
bodied,1
husbandry,1
hostilearmiesmayfaceeachotherforyearsstrivingforthevictorywhich,1
grudges,1
outlay,1
honors,1
emoluments,1
exordium,1
inhumanity,2
suntzusagreementiscertainlyingenious,1
hebeginsbyadvertingtothe,1
frightful,1
misery,1
waysbringsinitstrain,1
nowunlessyouarekeptinformedoftheenemys,1
drag,1
triing,1
eats,1
incalculably,1
sum,1
grievous,1
burden,1
shoulders,1
neglect,1
crime,1
tional,1
temperament,1
spear,1
cessation,1
therepressionofcrueltythecallinginofweaponsthepreservationofthe,1
bestowal,1
happiness,1
diffu,1
foreknowledge,1
elicited,1
tained,1
inductively,1
tumusnoteis,1
knowledgeoftheenemycannotbegainedbyreason,1
deductive,1
lichuansays,1
quantitieslikelengthbreadthdistanceandmagnitude,1
mathematical,2
determination,1
inductive,1
reasoning,1
universe,1
veried,1
ascer,1
tainable,1
andspies,1
inward,4
converted,8
surviving,4
spy,17
thisiscalleddivinemanipulationofthethreadsitisthesover,1
eigns,1
precious,1
cromwell,1
styled,1
scout,1
scouts,1
traceable,1
district,1
intheenemyscountrywinpeopleoverbykindtreatment,1
degraded,1
crimin,1
als,1
undergone,1
greedy,2
gold,1
aggrieved,1
distribution,1
posts,1
displaying,1
talents,1
ckle,1
turncoats,1
formedagainstyouandmoreoverdisturbtheharmonyandcreateabreach,1
dealing,1
lo,3
ichou,1
hsiung,3
stronghold,1
hsiunghadrecoursetotheservicesofacertainpotaianativeofwutu,1
hebegantohavehimwhippeduntilthebloodcameandthensenthimoff,1
delude,1
offering,1
cooperate,1
signal,2
mak,1
ingageneralassault,1
loshangcondinginthesepromisesmarchoutall,1
potais,1
hsiungs,1
potai,1
rearedlongscalingladdersagainstthecitywallsnowlightedthebeacon,1
raced,1
laddersasfastastheycouldwhileothersweredrawnupbyropeslowered,1
shangs,1
chargedwithallhisforcesbothinsideandoutsidethecityandroutedthe,1
havingconvertedspiesgettingholdoftheenemysspiesandusing,1
purposes,2
bribes,1
liberal,1
promises,1
detaching,1
inducing,1
countrymen,1
shihhsien,1
detected,1
commentatorsacceptthisasanalternativedenitionbutthatitisnotwhat,1
conclusively,1
treating,1
generously,1
occasions,2
wily,1
conducting,1
thekingofchaostronglydisapprovedoflienposcautiousanddilatory,1
disasters,1
lent,1
anxiety,1
boyhood,1
engrossed,1
fatherwasmuchdisquietedbythisoverweeningconceitandtheippancy,1
withwhichhespokeofsuchaseriousthingaswarandsolemnlydeclared,1
appointed,1
earnest,1
protests,1
veteran,1
statesman,2
hsiangju,1
needless,1
redoubtable,1
famished,1
devoured,1
arrow,1
amounting,1
ruthlessly,1
havingdoomedspiesdoingcertainthingsopenlyforpurposesofde,1
ception,1
ostentatiously,1
theyhavebeenunwittinglydisclosed,1
thenwhenthesespiesarecaptured,1
turkish,1
kahn,1
chiehliintofanciedsecurityuntillichingwasabletodeliveracrushing,1
revenged,1
thatheescapedandlivedonuntil,1
liichiplayedasomewhatsimilar,1
negoti,1
ations,1
spyforthekingofchibeingsubsequentlyattackedwithoutwarningby,1
infuriated,1
ichi,1
envoyto,1
boiled,1
regu,1
lar,1
intellect,1
outward,1
fool,1
shabby,1
exterior,1
robust,1
endowed,1
physical,1
sorts,1
dirty,1
endure,1
hunger,1
ignominy,1
tahsi,2
shayuan,1
wereonhorsebackandworetheenemysuniform,1
whenitwasdarkthey,1
dismountedafewhundredfeetawayfromtheenemyscampandstealthily,1
listen,1
catching,1
passwords,1
guise,1
nightwatchmen,1
hap,1
pening,1
committing,1
cipline,1
culprit,1
cudgeling,1
fullest,1
warm,1
commendation,1
severe,1
intimate,2
relations,1
privileged,1
sleepingtent,1
liberally,1
graphic,1
mouthtoear,1
paysthemillisneverserved,1
theyshouldneverbeknowntoanybodynor,1
shouldtheyknowoneanother,1
whentheyproposeanythingverymaterial,1
securetheirpersonsorhaveinyourpossessiontheirwivesandchildrenas,1
delity,1
communicate,1
usefully,1
intuitive,1
sagacity,1
falsehoodandbeabletodiscriminatebetweenhonestyanddoubledealing,1
wanghsiinadifferentinterpretationthinksmorealongthelinesofintu,1
itiveperceptionandpracticalintelligencetumustrangelyrefersthese,1
attributes,1
assure,1
integrity,1
experi,1
brazen,1
crafty,1
penetratesuchsothatweareleftinsomedoubtastohisrealopinionon,1
straightfor,1
wardness,1
whenyouhaveattractedthembysubstantialoffersyou,1
treat,1
ingenuity,1
tostophismouthandpreventnewsleakinganyfurther,1
ifithadalready,1
pains,1
worm,1
nding,2
attendants,1
aidesde,1
visitors,1
neces,1
sitates,1
interviews,1
doorkeepers,1
sentries,1
commissioned,1
functionaries,1
bribery,1
theenemysspieswhohavecometospyonusmustbesoughtouttemp,1
tedwithbribesledawayandcomfortablyhoused,1
thustheywillbecome,1
itisthroughtheinformationbroughtbytheconvertedspythatweareable,1
acquire,1
emysconditionand,1
wemusttempt,1
convertedspy,1
whichof,1
tidings,1
lastly,1
aim,1
spying,2
enemyandthisknowledgecanonlybederivedintherstinstancefrom,1
brings,1
lib,1
erality,1
theyin,1
founded,1
yin,7
kengin,1
tangs,1
campaignagainst,1
tyrant,1
af,1
helped,1
popularly,1
stowed,1
erroneously,1
identiedwith,1
troduce,1
examples,1
suggestion,1
upset,1
weaknesses,1
shortcoming,1
impart,1
resent,1
aspersion,1
historic,1
achievements,1
indignant,1
divinely,1
requires,1
caliber,1
andcapacityqualiedthemforthetask,1
theabovewordsonlyemphasize,1
believes,1
heroes,1
henceitisonlytheenlightenedrulerandthewisegeneralwhowillusethe,1
closes,1
warning,1
sinking,1
ofttimes,1
element,1
armys,1
chialinsaysthatanarmywithoutspiesislikeamanwithearsoreyes,1
